Antibiotic,Accuracy,Precision,Recall,F1 Score,Classes
AMX/AMP,0.6114457831325302,0.6053192674112587,0.6114457831325302,0.6044082900469104,"['I', 'R', 'S']"
AMC,0.6154618473895582,0.6053714295185662,0.6154618473895582,0.6069013584210012,"['I', 'R', 'S']"
CZ,0.6119477911646586,0.6014585453648084,0.6119477911646586,0.6035716571069712,"['I', 'R', 'S']"
FOX,0.6395582329317269,0.6366777655020167,0.6395582329317269,0.6340632406075217,"['I', 'R', 'S']"
CTX/CRO,0.6335341365461847,0.626075031628098,0.6335341365461847,0.6254094849167111,"['I', 'R', 'S']"
IPM,0.6285140562248996,0.6250243240264647,0.6285140562248996,0.6222651232094143,"['I', 'R', 'S']"
GEN,0.7304216867469879,0.6688775617565824,0.7304216867469879,0.6929409965529253,"['I', 'R', 'S']"
AN,0.7404618473895582,0.6747043476337726,0.7404618473895582,0.6985451044781964,"['I', 'R', 'S']"
Acide nalidixique,0.7720883534136547,0.7447005531019004,0.7720883534136547,0.7576147572723794,"['I', 'R', 'S']"
ofx,0.7826305220883534,0.7446374157243723,0.7826305220883534,0.761770224572401,"['I', 'R', 'S']"
CIP,0.7635542168674698,0.7367764294493653,0.7635542168674698,0.749185078930407,"['I', 'R', 'S']"
C,0.7700803212851406,0.7463520845725037,0.7700803212851406,0.7572779643455868,"['I', 'R', 'S']"
Co-trimoxazole,0.7710843373493976,0.7427056364347615,0.7710843373493976,0.7558957491368589,"['I', 'R', 'S']"
Furanes,0.7896586345381527,0.7571256527474531,0.7896586345381527,0.7718025429316611,"['I', 'R', 'S']"
colistine,0.767570281124498,0.7406806481103012,0.767570281124498,0.7535506793974628,"['I', 'R', 'S']"
