Antibiotic,Baseline_Accuracy,Baseline_F1_weighted,V2_Accuracy,V2_F1_weighted,Baseline_ConfMatrix_IRS,V2_ConfMatrix_IRS
AMX/AMP,0.6300200803212851,0.6122369937545279,0.6345381526104418,0.6176440756144057,"[[0, 26, 11], [0, 902, 241], [0, 459, 353]]","[[0, 30, 7], [0, 901, 242], [0, 449, 363]]"
AMC,0.6325301204819277,0.6123228245006441,0.6320281124497992,0.6126616552736724,"[[0, 22, 13], [1, 936, 226], [1, 469, 324]]","[[0, 22, 13], [0, 929, 234], [0, 464, 330]]"
CZ,0.6255020080321285,0.6094086367509715,0.6325301204819277,0.6169648953356858,"[[1, 22, 11], [0, 889, 249], [1, 463, 356]]","[[0, 23, 11], [0, 889, 249], [0, 449, 371]]"
FOX,0.6501004016064257,0.6339609543235459,0.642570281124498,0.6283604145996431,"[[0, 21, 14], [1, 921, 225], [1, 435, 374]]","[[0, 25, 10], [0, 896, 251], [0, 426, 384]]"
CTX/CRO,0.6340361445783133,0.616564657697484,0.6365461847389559,0.6212110459909775,"[[0, 29, 8], [1, 910, 239], [0, 452, 353]]","[[0, 26, 11], [0, 898, 252], [0, 435, 370]]"
IPM,0.642570281124498,0.6265240782985977,0.6480923694779116,0.6329696715661475,"[[1, 27, 9], [1, 910, 233], [0, 442, 369]]","[[0, 28, 9], [0, 905, 239], [0, 425, 386]]"
GEN,0.7751004016064257,0.7055850975393416,0.7876506024096386,0.699578096966179,"[[0, 1, 33], [0, 21, 366], [0, 48, 1523]]","[[0, 0, 34], [0, 5, 382], [0, 7, 1564]]"
AN,0.7791164658634538,0.7120098957273068,0.7911646586345381,0.7026474286273079,"[[0, 1, 34], [0, 24, 357], [0, 48, 1528]]","[[0, 0, 35], [0, 4, 377], [0, 4, 1572]]"
Acide nalidixique,0.8358433734939759,0.7697395241160326,0.8418674698795181,0.7721705778352215,"[[0, 0, 38], [0, 4, 274], [1, 14, 1661]]","[[0, 1, 37], [0, 3, 275], [0, 2, 1674]]"
ofx,0.8383534136546185,0.7745931395045926,0.8443775100401606,0.774089709254724,"[[0, 0, 34], [0, 5, 271], [1, 16, 1665]]","[[0, 0, 34], [0, 1, 275], [0, 1, 1681]]"
CIP,0.8343373493975904,0.7719938743591709,0.8338353413654619,0.7610202650184642,"[[1, 1, 34], [0, 11, 278], [0, 17, 1650]]","[[0, 0, 36], [0, 0, 289], [0, 6, 1661]]"
C,0.8383534136546185,0.7734200796500283,0.8418674698795181,0.7723936930914863,"[[2, 0, 34], [1, 3, 273], [1, 13, 1665]]","[[0, 0, 36], [0, 2, 275], [0, 4, 1675]]"
Co-trimoxazole,0.839859437751004,0.7744730048356392,0.8373493975903614,0.7669045335047454,"[[0, 0, 35], [0, 8, 275], [0, 9, 1665]]","[[0, 0, 35], [0, 1, 282], [0, 7, 1667]]"
Furanes,0.8483935742971888,0.7879063171092642,0.8488955823293173,0.7818743691102383,"[[0, 4, 31], [1, 8, 256], [0, 10, 1682]]","[[0, 0, 35], [0, 2, 263], [0, 3, 1689]]"
colistine,0.8403614457831325,0.7747821927474207,0.8443775100401606,0.7761209797959576,"[[0, 0, 38], [0, 2, 266], [0, 14, 1672]]","[[0, 1, 37], [0, 1, 267], [0, 5, 1681]]"
