Antibiotic,Baseline_Accuracy,Baseline_F1_weighted,Baseline_Accuracy_fold_mean,Baseline_Accuracy_fold_std,Baseline_F1_fold_mean,Baseline_F1_fold_std,V3_Accuracy,V3_F1_weighted,V3_Accuracy_fold_mean,V3_Accuracy_fold_std,V3_F1_fold_mean,V3_F1_fold_std,Baseline_ConfMatrix_IRS,V3_ConfMatrix_IRS
AMX/AMP,0.6361353821432159,0.6182374227309652,0.6361359551717669,0.010820633978788317,0.6182164426370985,0.01022846640958314,0.6381440192829165,0.620638739641709,0.638144189011193,0.011494137577533287,0.6205984026211764,0.01210415218466534,"[[0, 139, 45], [5, 4552, 1155], [1, 2278, 1782]]","[[0, 133, 51], [0, 4546, 1166], [0, 2253, 1808]]"
AMC,0.6330219945766797,0.612760356655573,0.6330220429684584,0.005370286050782787,0.6126901713744191,0.004047824364849699,0.6298081751531586,0.6106524763820333,0.6298087377132842,0.0071372675788409804,0.6106242121478747,0.005855756217923337,"[[1, 127, 44], [6, 4685, 1124], [3, 2350, 1617]]","[[0, 126, 46], [0, 4625, 1190], [0, 2324, 1646]]"
CZ,0.6267952194436075,0.6101898110106051,0.6267949245500334,0.0040616427489012724,0.6101601783074388,0.00408816988214291,0.6266947875866224,0.6110908849542186,0.626693161394952,0.008118220516775012,0.6110124001200887,0.0070154688817818415,"[[2, 117, 51], [3, 4460, 1227], [4, 2314, 1779]]","[[0, 123, 47], [0, 4412, 1278], [0, 2269, 1828]]"
FOX,0.6420608617053329,0.6257162965202174,0.6420604567945313,0.005832274205588943,0.6256311235239522,0.006525040787245267,0.6354323591443206,0.6189357063677721,0.6354324379385952,0.007903813688841604,0.6189136245506748,0.007240692884201164,"[[4, 122, 47], [6, 4579, 1150], [6, 2233, 1810]]","[[0, 131, 42], [0, 4520, 1215], [0, 2242, 1807]]"
CTX/CRO,0.6357336547152757,0.6183616975705126,0.6357337940410562,0.0017256432178604536,0.6182884546193324,0.0020553854354212102,0.6376418599979914,0.6207922157145463,0.6376421809790644,0.008663615070749862,0.6207403703349976,0.00751242307058918,"[[1, 127, 55], [2, 4564, 1182], [5, 2256, 1765]]","[[0, 133, 50], [0, 4547, 1201], [0, 2224, 1802]]"
IPM,0.6445716581299589,0.6284175701035085,0.6445723627811093,0.010950396031869996,0.6283450894151605,0.011830718028485827,0.6411569749924676,0.625095177335315,0.6411573466139797,0.008058238874350955,0.6250554790337957,0.008516695827786639,"[[6, 120, 60], [5, 4568, 1144], [1, 2209, 1844]]","[[0, 125, 61], [0, 4518, 1199], [0, 2188, 1866]]"
GEN,0.7798533694888018,0.7067232194903093,0.7798530636861862,0.0029777950220858645,0.7066910370739466,0.004170619687937501,0.7847745304810686,0.6982017565057138,0.7847743056606132,0.002143339028616434,0.6982031551256485,0.0022234705312597336,"[[3, 8, 156], [3, 88, 1845], [6, 174, 7674]]","[[0, 0, 167], [0, 25, 1911], [0, 65, 7789]]"
AN,0.7795520739178468,0.7060953324111775,0.7795516067282693,0.0042017452278375195,0.7060679393737553,0.002627060461611887,0.7872853269056945,0.70274177840058,0.7872851022371756,0.0013293607604106894,0.7027108144214523,0.002763566852181599,"[[9, 3, 165], [1, 69, 1835], [2, 189, 7684]]","[[3, 0, 174], [0, 30, 1875], [0, 69, 7806]]"
Acide nalidixique,0.8344882996886612,0.7685555165571728,0.834487825737909,0.002157099792128742,0.7685422938692079,0.0012748311417669377,0.8399116199658532,0.7690574386996185,0.8399115295940165,0.001335169551589917,0.7690593193358207,0.0008643483652363336,"[[0, 2, 188], [0, 16, 1372], [10, 76, 8293]]","[[0, 0, 190], [0, 4, 1384], [1, 19, 8359]]"
ofx,0.8380034146831374,0.7735817370844742,0.8380032435114643,0.0011510963000925362,0.7735513536015142,0.0010313094386900441,0.8428241438184192,0.7724579682734302,0.8428242855903776,0.0006769200472936896,0.7724559235495574,0.00020809042389201553,"[[1, 2, 167], [2, 19, 1360], [4, 78, 8324]]","[[0, 0, 170], [1, 1, 1379], [0, 15, 8391]]"
CIP,0.8299688661243346,0.764314869780718,0.8299690474605604,0.0019572873114790295,0.7642888997598176,0.0021046660951563197,0.8347895952596164,0.7628662922585159,0.834789484406738,0.0019410013320865789,0.7628598997410069,0.0017959467568479954,"[[4, 2, 173], [3, 25, 1419], [3, 93, 8235]]","[[1, 0, 178], [0, 7, 1440], [0, 27, 8304]]"
C,0.8392085969669579,0.7740705590912887,0.8392089200599486,0.002276024830867367,0.7740611464055618,0.002746882796129517,0.8412172341066586,0.7714706923100334,0.8412173051825584,0.00046692113070660724,0.7714600538723912,0.0014516252406386362,"[[4, 3, 175], [2, 23, 1360], [4, 57, 8329]]","[[1, 0, 181], [0, 7, 1378], [0, 22, 8368]]"
Co-trimoxazole,0.833785276689766,0.7691222698657592,0.833785216203841,0.0020874256364346363,0.7691057334773579,0.002837286058627761,0.839309028823943,0.7684979633736543,0.8393091703831901,0.0008116862448446296,0.7684885136187981,0.0015718727008033906,"[[1, 2, 171], [0, 25, 1388], [5, 89, 8276]]","[[0, 0, 174], [0, 7, 1406], [0, 20, 8350]]"
Furanes,0.8441297579592246,0.7817116271150797,0.8441294056184556,0.002514236011976948,0.7817000651945066,0.0028078666758633904,0.8481470322386261,0.7803681639539427,0.8481470331350515,0.0006800546313732652,0.780367203142939,0.0003966776849525054,"[[2, 9, 163], [4, 18, 1304], [3, 69, 8385]]","[[0, 1, 173], [0, 4, 1322], [0, 16, 8441]]"
colistine,0.8419202571055538,0.7794853741708954,0.8419204694216342,0.001870941714348921,0.7794621172660182,0.001984365909240138,0.8453349402430451,0.7766345745922626,0.8453348300283,0.0009164002979555623,0.7766355278538433,0.0010009996928030545,"[[4, 3, 184], [0, 27, 1311], [7, 69, 8352]]","[[0, 0, 191], [0, 6, 1332], [0, 17, 8411]]"
